Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Cocopa, Cocopah, Cocopa language, Cocopah language",https://en-word.net/id/oewn-06935356-n,https://www.wikidata.org/entity/Q33044,the Yuman language spoken by the Cocopa,Delta language of the Yuman language family spoken by the Cocopah,Exact,TRUE,
"Diegueno, Diegueno language",https://en-word.net/id/oewn-06935458-n,,the Yuman language spoken by the Diegueno,,None,FALSE,https://www.wikidata.org/wiki/Q4910139
"Havasupai, Havasupai language",https://en-word.net/id/oewn-06935554-n,https://www.wikidata.org/entity/Q33337,the Yuman language spoken by the Havasupai,dialect of the Upland Yuman language spoken by fewer than 450 people on the Havasupai Indian Reservation at the bottom of the Grand Canyon,Exact,TRUE,
"Kamia, Kamia language",https://en-word.net/id/oewn-06935652-n,https://www.wikidata.org/entity/Q4910139,the Yuman language spoken by the Kamia,Native American language spoken in California and Mexico,Exact,TRUE,
"Kiliwa, Kiliwi, Kiliwi language, Kiliwa language",https://en-word.net/id/oewn-06935742-n,https://www.wikidata.org/entity/Q3182593,the Yuman language spoken by the Kiliwa,language,Exact,TRUE,
"Maricopa, Maricopa language",https://en-word.net/id/oewn-06935843-n,https://www.wikidata.org/entity/Q56386,the Yuman language spoken by the Maricopa and the Halchidhoma,language,Exact,TRUE,
"Mohave, Mojave, Mojave language, Mohave language",https://en-word.net/id/oewn-06935959-n,https://www.wikidata.org/entity/Q56510,the Yuman language spoken by the Mohave,language,Exact,TRUE,
"Walapai, Hualapai, Hualpai, Hualpai language, Hualapai language, Walapai language",https://en-word.net/id/oewn-06936060-n,https://www.wikidata.org/entity/Q20064941,the Yuman language spoken by the Walapai,,Exact,TRUE,
"Yavapai, Yavapai language",https://en-word.net/id/oewn-06936175-n,https://www.wikidata.org/entity/Q34202,the Yuman language spoken by the Yavapai,"Upland Yuman language, spoken by Yavapai people in central and western Arizona",Exact,TRUE,
"Yuma, Yuma language",https://en-word.net/id/oewn-06936269-n,,the Yuman language spoken by the Yuma,,None,FALSE,https://www.wikidata.org/wiki/Q3573199
Yanan,https://en-word.net/id/oewn-06936357-n,https://www.wikidata.org/entity/Q56419,a language group of the Hokan family,extinct language,Exact,TRUE,
"Yahi, Yahi language",https://en-word.net/id/oewn-06936481-n,,the Yanan language spoken by the Yahi,,None,FALSE,https://www.wikidata.org/wiki/Q131625885
"Yana, Yana language",https://en-word.net/id/oewn-06936569-n,https://www.wikidata.org/entity/Q56419,the Yanan language spoken by the Yana,extinct language,Exact,TRUE,
Penutian,https://en-word.net/id/oewn-06936657-n,https://www.wikidata.org/entity/Q115485,a family of Amerindian language spoken in the great interior valley of California,language family,Exact,TRUE,
Copehan,https://en-word.net/id/oewn-06936991-n,,a group of Penutian languages spoken to the west of the Sacramento river,,None,FALSE,https://www.wikidata.org/wiki/Q1294259
"Patwin, Patwin language",https://en-word.net/id/oewn-06937153-n,https://www.wikidata.org/entity/Q3370188,a Copehan language spoken by the Patwin,endangered indigenous language of northern California,Exact,TRUE,
"Wintun, Wintun language",https://en-word.net/id/oewn-06937245-n,,a Copehan language spoken by the Wintun,,None,FALSE,https://www.wikidata.org/wiki/Q56754
"Costanoan, Costanoan language",https://en-word.net/id/oewn-06937337-n,,a Penutian language spoken by the Costanoan,,None,FALSE,https://www.wikidata.org/wiki/Q2612570
"Mariposan, Yokuts, Yokuts language, Mariposan language",https://en-word.net/id/oewn-06937436-n,https://www.wikidata.org/entity/Q34249,a Penutian language spoken by the Yokuts in the San Joaquin Valley,endangered language family,Exact,TRUE,
"Moquelumnan, Miwok, Miwok language, Moquelumnan language",https://en-word.net/id/oewn-06937567-n,https://www.wikidata.org/entity/Q578082,a Penutian language spoken by the Miwok,language family,Exact,TRUE,
"Pujunan, Maidu, Pujunan language, Maidu language",https://en-word.net/id/oewn-06937672-n,https://www.wikidata.org/entity/Q3278074,a Penutian language spoken by the Maidu,language,Exact,TRUE,
"Chinookan, Chinook, Chinookan language, Chinook language",https://en-word.net/id/oewn-06937773-n,https://www.wikidata.org/entity/Q610586,a Penutian language spoken by the Chinook,language family,Multiple,FALSE,
"Chinookan, Chinook, Chinookan language, Chinook language",https://en-word.net/id/oewn-06937773-n,https://www.wikidata.org/entity/Q6693380,a Penutian language spoken by the Chinook,language,Multiple,TRUE,
"Kalapooian, Kalapuyan, Kalapuyan language, Kalapooian language",https://en-word.net/id/oewn-06937880-n,https://www.wikidata.org/entity/Q1569040,a Penutian language spoken by the Kalapuya,language family,Exact,TRUE,
"Kusan, Kusan language",https://en-word.net/id/oewn-06937991-n,,a Penutian language spoken by the Kusan,,None,FALSE,https://www.wikidata.org/wiki/Q940278
"Shahaptian, Sahaptin, Sahaptin language, Shahaptian language",https://en-word.net/id/oewn-06938082-n,https://www.wikidata.org/entity/Q3833015,a Penutian language spoken by the Shahaptian,language,Exact,TRUE,
"Nez Perce, Nez Perce language",https://en-word.net/id/oewn-06938212-n,https://www.wikidata.org/entity/Q3339226,the Shahaptian language spoken by the Nez Perce,Sahaptian language spoken in the Northwestern United States,Exact,TRUE,
"Takilman, Takelma, Takelma language, Takilman language",https://en-word.net/id/oewn-06938315-n,https://www.wikidata.org/entity/Q12643282,a Penutian language spoken by the Takelma,,Multiple,FALSE,
"Takilman, Takelma, Takelma language, Takilman language",https://en-word.net/id/oewn-06938315-n,https://www.wikidata.org/entity/Q56710,a Penutian language spoken by the Takelma,language,Multiple,TRUE,
"Tsimshian, Tsimshian language",https://en-word.net/id/oewn-06938421-n,https://www.wikidata.org/entity/Q20085721,a Penutian language spoken by the Tsimshian,language,Exact,TRUE,
"Eskimo-Aleut, Eskimo-Aleut language",https://en-word.net/id/oewn-06930818-n,,the family of languages that includes Eskimo and Aleut,,None,FALSE,https://www.wikidata.org/wiki/Q25946
"Eskimo, Esquimau, Eskimo language, Esquimau language",https://en-word.net/id/oewn-06930991-n,,the language spoken by the Eskimo,,None,FALSE,https://www.wikidata.org/wiki/Q20736
"Aleut, Aleut language",https://en-word.net/id/oewn-06931088-n,https://www.wikidata.org/entity/Q27210,the language spoken by the Aleut,language of the Eskimo–Aleut language family,Multiple,TRUE,
"Aleut, Aleut language",https://en-word.net/id/oewn-06931088-n,https://www.wikidata.org/entity/Q11850745,the language spoken by the Aleut,branch of the Eskimo-Aleut language family,Multiple,FALSE,
"Chukchi, Chukchi language",https://en-word.net/id/oewn-06941011-n,https://www.wikidata.org/entity/Q33170,an indigenous and isolated language of unknown origin spoken by the Chukchi that is pronounced differently by men and women,Palaeosiberian language,Exact,TRUE,
"Sino-Tibetan, Sino-Tibetan language",https://en-word.net/id/oewn-06943711-n,https://www.wikidata.org/entity/Q45961,the family of tonal languages spoken in eastern Asia,language family native to Asia,Exact,TRUE,
"Sinitic, Sinitic language",https://en-word.net/id/oewn-06942395-n,https://www.wikidata.org/entity/Q33857,a group of Sino-Tibetan languages,group of East Asian analytic languages and a major branch of the Sino-Tibetan language family,Exact,TRUE,
Chinese,https://en-word.net/id/oewn-06942519-n,https://www.wikidata.org/entity/Q3110592,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system,"overview of writing varieties of Chinese, unified in Qin dynasty",Multiple,FALSE,
Chinese,https://en-word.net/id/oewn-06942519-n,https://www.wikidata.org/entity/Q7850,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system,language group of the Sinitic languages,Multiple,TRUE,
Chinese,https://en-word.net/id/oewn-06942519-n,https://www.wikidata.org/entity/Q727694,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system,standard form of Chinese and the official language of China,Multiple,FALSE,
"Mandarin, Mandarin Chinese, Mandarin dialect, Beijing dialect",https://en-word.net/id/oewn-06942870-n,https://www.wikidata.org/entity/Q9192,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,major branch of Chinese spoken across most of northern and southwestern China,Multiple,FALSE,
"Mandarin, Mandarin Chinese, Mandarin dialect, Beijing dialect",https://en-word.net/id/oewn-06942870-n,https://www.wikidata.org/entity/Q10948482,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,"common spoken language of administration of the Chinese empire during the Ming and Qing dynasties, later developing into Standard Chinese",Multiple,FALSE,
"Mandarin, Mandarin Chinese, Mandarin dialect, Beijing dialect",https://en-word.net/id/oewn-06942870-n,https://www.wikidata.org/entity/Q24841726,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,"version of Standard Mandarin used in People's Republic of China, which contains a few differences with Standard Mandarin used in Taiwan (Guoyu)",Multiple,FALSE,
"Mandarin, Mandarin Chinese, Mandarin dialect, Beijing dialect",https://en-word.net/id/oewn-06942870-n,https://www.wikidata.org/entity/Q727694,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,standard form of Chinese and the official language of China,Multiple,TRUE,
"Mandarin, Mandarin Chinese, Mandarin dialect, Beijing dialect",https://en-word.net/id/oewn-06942870-n,https://www.wikidata.org/entity/Q1147606,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China,dialect of Beijing Mandarin spoken in the capital of the PRC,Multiple,FALSE,
"Wu, Wu dialect, Shanghai dialect",https://en-word.net/id/oewn-06943075-n,https://www.wikidata.org/entity/Q34290,a dialect of Chinese spoken in the Yangtze delta,Sinitic language,Multiple,TRUE,
"Wu, Wu dialect, Shanghai dialect",https://en-word.net/id/oewn-06943075-n,https://www.wikidata.org/entity/Q36718,a dialect of Chinese spoken in the Yangtze delta,Chinese variant-language named for Shanghai and its region,Multiple,FALSE,
"Yue, Yue dialect, Cantonese, Cantonese dialect",https://en-word.net/id/oewn-06943204-n,https://www.wikidata.org/entity/Q7033959,the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China,primary branch of Chinese spoken in southern China,Multiple,TRUE,
"Yue, Yue dialect, Cantonese, Cantonese dialect",https://en-word.net/id/oewn-06943204-n,https://www.wikidata.org/entity/Q9186,the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China,"variety of Yue Chinese spoken in Guangzhou, Hong Kong, and Macau",Multiple,FALSE,
"Min, Min dialect, Fukien, Fukkianese, Hokkianese, Amoy, Taiwanese, Amoy language, Fukkianese language, Hokkianese language, Taiwanese language, Fukien language, Min language",https://en-word.net/id/oewn-06943410-n,https://www.wikidata.org/entity/Q2705752,any of the forms of Chinese spoken in Fukien province,dialect of Hokkien spoken in the city of Xiamen,Multiple,FALSE,
"Min, Min dialect, Fukien, Fukkianese, Hokkianese, Amoy, Taiwanese, Amoy language, Fukkianese language, Hokkianese language, Taiwanese language, Fukien language, Min language",https://en-word.net/id/oewn-06943410-n,https://www.wikidata.org/entity/Q56504,any of the forms of Chinese spoken in Fukien province,language family,Multiple,TRUE,
"Min, Min dialect, Fukien, Fukkianese, Hokkianese, Amoy, Taiwanese, Amoy language, Fukkianese language, Hokkianese language, Taiwanese language, Fukien language, Min language",https://en-word.net/id/oewn-06943410-n,https://www.wikidata.org/entity/Q36778,any of the forms of Chinese spoken in Fukien province,variety of Hokkien spoken in Taiwan,Multiple,FALSE,
"Min, Min dialect, Fukien, Fukkianese, Hokkianese, Amoy, Taiwanese, Amoy language, Fukkianese language, Hokkianese language, Taiwanese language, Fukien language, Min language",https://en-word.net/id/oewn-06943410-n,https://www.wikidata.org/entity/Q13324,any of the forms of Chinese spoken in Fukien province,Minangkabauic language spoken predominantly by the Minangkabau ethnic group,Multiple,FALSE,
"Hakka, Hakka dialect",https://en-word.net/id/oewn-06943581-n,https://www.wikidata.org/entity/Q33375,a dialect of Chinese spoken in southeastern China by the Hakka,primary branch of Chinese originating in Southern China,Exact,TRUE,
"Tibeto-Burman, Tibeto-Burman language",https://en-word.net/id/oewn-06943976-n,https://www.wikidata.org/entity/Q34064,a branch of the Sino-Tibetan family of languages spoken from Tibet to the Malay Peninsula,group of the Sino-Tibetan language family,Exact,TRUE,
"Qiang, Qiangic, Qiangic language, Qiang language",https://en-word.net/id/oewn-06944276-n,https://www.wikidata.org/entity/Q1636765,the Tibeto-Burman language spoken in Sichuan,language family,Exact,TRUE,
"Bai, Baic, Baic language, Bai language",https://en-word.net/id/oewn-06944382-n,https://www.wikidata.org/entity/Q35103,the Tibeto-Burman language spoken in the Dali region of Yunnan,"Macro-Bai language of Yunnan, China",Multiple,TRUE,
"Bai, Baic, Baic language, Bai language",https://en-word.net/id/oewn-06944382-n,https://www.wikidata.org/entity/Q34894,the Tibeto-Burman language spoken in the Dali region of Yunnan,Bai–Viri language in South Sudan,Multiple,FALSE,
"Himalayish, Himalayish language",https://en-word.net/id/oewn-06944501-n,https://www.wikidata.org/entity/Q2700231,the Tibeto-Burman language spoken in Tibet and Nepal and Bhutan and Sikkim,,Exact,FALSE,Doesn't exist
"Tibetan, Tibetan language",https://en-word.net/id/oewn-06946708-n,https://www.wikidata.org/entity/Q34271,Himalayish language spoken in Tibet,Tibeto-Burman language,Exact,TRUE,
"Newari, Newari language",https://en-word.net/id/oewn-06946797-n,https://www.wikidata.org/entity/Q33979,Himalayish language spoken in the Kathmandu valley of Nepal,Sino-Tibetan language of central-eastern Nepal,Exact,TRUE,
"Kamarupan, Kamarupan language",https://en-word.net/id/oewn-06944668-n,,the Tibeto-Burman language spoken in northeastern India and adjacent regions of western Burma,,None,FALSE,Doesn't exist
